content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"penarikan lama lebih dari 7 hari pdhl dsana nya udh ditulis masuk ke rdn,tp duitnya kaga masuk,pdhl ini juga bukan dri obligasi,mending di aplikasi lain yg ga smpe ditunggu lama kaya gni ditambah chat support nya slow respon bgt",1,Negatif,penarikan lama lebih dari  hari pdhl dsana nya udh ditulis masuk ke rdntp duitnya kaga masukpdhl ini juga bukan dri obligasimending di aplikasi lain yg ga smpe ditunggu lama kaya gni ditambah chat support nya slow respon bgt,penarikan pdhl dsana nya udh ditulis masuk rdntp duitnya kaga masukpdhl dri obligasimending aplikasi yg ga smpe ditunggu kaya gni ditambah chat support nya slow respon bgt,"['penarikan', 'pdhl', 'dsana', 'nya', 'udh', 'ditulis', 'masuk', 'rdntp', 'duitnya', 'kaga', 'masukpdhl', 'dri', 'obligasimending', 'aplikasi', 'yg', 'ga', 'smpe', 'ditunggu', 'kaya', 'gni', 'ditambah', 'chat', 'support', 'nya', 'slow', 'respon', 'bgt']",tari pdhl dsana nya udh tulis masuk rdntp duit kaga masukpdhl dri obligasimending aplikasi yg ga smpe tunggu kaya gni tambah chat support nya slow respon bgt
"Proses kyc terlalu lama udh 2 Minggu kyc belum aj di proses, bilang nya 2 hari lagi ini malah udh hampir 3 Minggu belum aj di proses. Udah chat cs gitu² aj gak ada perubahan. Tolong data saya jangan disalah gunakan buat hal yang aneh aneh.",1,Negatif,proses kyc terlalu lama udh  minggu kyc belum aj di proses bilang nya  hari lagi ini malah udh hampir  minggu belum aj di proses udah chat cs gitu aj gak ada perubahan tolong data saya jangan disalah gunakan buat hal yang aneh aneh,proses kyc udh minggu kyc aj proses bilang nya udh minggu aj proses udah chat cs gitu aj gak perubahan tolong data disalah aneh aneh,"['proses', 'kyc', 'udh', 'minggu', 'kyc', 'aj', 'proses', 'bilang', 'nya', 'udh', 'minggu', 'aj', 'proses', 'udah', 'chat', 'cs', 'gitu', 'aj', 'gak', 'perubahan', 'tolong', 'data', 'disalah', 'aneh', 'aneh']",proses kyc udh minggu kyc aj proses bilang nya udh minggu aj proses udah chat cs gitu aj gak ubah tolong data salah aneh aneh
"Ga lagi2 investasi ke aplikasi macam ginian. Bukannya untung malah buntung, baru simpen beberapa hari udah rugi ratusan ribu, jadinya malah mirip judi versi premium, karena nilai nya ga tetap bisa naik turun. Mending balik lagi invest ke emas yg terbukti stabil sekian lama",1,Negatif,ga lagi investasi ke aplikasi macam ginian bukannya untung malah buntung baru simpen beberapa hari udah rugi ratusan ribu jadinya malah mirip judi versi premium karena nilai nya ga tetap bisa naik turun mending balik lagi invest ke emas yg terbukti stabil sekian lama,ga investasi aplikasi ginian untung buntung simpen udah rugi ratusan ribu judi versi premium nilai nya ga turun mending invest emas yg terbukti stabil sekian,"['ga', 'investasi', 'aplikasi', 'ginian', 'untung', 'buntung', 'simpen', 'udah', 'rugi', 'ratusan', 'ribu', 'judi', 'versi', 'premium', 'nilai', 'nya', 'ga', 'turun', 'mending', 'invest', 'emas', 'yg', 'terbukti', 'stabil', 'sekian']",ga investasi aplikasi ginian untung buntung simpen udah rugi ratus ribu judi versi premium nilai nya ga turun mending invest emas yg bukti stabil sekian
"Hampir setahun pakai aplikasi ini dan pada akhirnya dipaksa buat kecewa.Biaya admin sekarang berlaku dua kali, ketika beli dan jual, belum lagi dipersulit dengan pakai jago juga,biar dapat gratis biaya. Bibit yg dulu merepresentasikan investasi profitable untuk kaum awam, nyatanya sekarang justru nabung untuk kemudian nilainya defisit, karena banyaknya biaya admin/komisi.Pencairan yang lama dan tidak menentu,ditambah tidak jelasnya riwayat penjualan,makin melengkapi kekurangan aplikasi ini.",1,Negatif,hampir setahun pakai aplikasi ini dan pada akhirnya dipaksa buat kecewabiaya admin sekarang berlaku dua kali ketika beli dan jual belum lagi dipersulit dengan pakai jago jugabiar dapat gratis biaya bibit yg dulu merepresentasikan investasi profitable untuk kaum awam nyatanya sekarang justru nabung untuk kemudian nilainya defisit karena banyaknya biaya adminkomisipencairan yang lama dan tidak menentuditambah tidak jelasnya riwayat penjualanmakin melengkapi kekurangan aplikasi ini,setahun pakai aplikasi dipaksa kecewabiaya admin berlaku kali beli jual dipersulit pakai jago jugabiar gratis biaya bibit yg merepresentasikan investasi profitable kaum awam nabung nilainya defisit banyaknya biaya adminkomisipencairan menentuditambah riwayat penjualanmakin melengkapi kekurangan aplikasi,"['setahun', 'pakai', 'aplikasi', 'dipaksa', 'kecewabiaya', 'admin', 'berlaku', 'kali', 'beli', 'jual', 'dipersulit', 'pakai', 'jago', 'jugabiar', 'gratis', 'biaya', 'bibit', 'yg', 'merepresentasikan', 'investasi', 'profitable', 'kaum', 'awam', 'nabung', 'nilainya', 'defisit', 'banyaknya', 'biaya', 'adminkomisipencairan', 'menentuditambah', 'riwayat', 'penjualanmakin', 'melengkapi', 'kekurangan', 'aplikasi']",tahun pakai aplikasi paksa kecewabiaya admin laku kali beli jual sulit pakai jago jugabiar gratis biaya bibit yg representasi investasi profitable kaum awam nabung nilai defisit banyak biaya adminkomisipencairan menentuditambah riwayat penjualanmakin lengkap kurang aplikasi
"Bibit aplikasi ringan,simpel .udah hampir 1/2 tahun pakai bibit nyaman juga belum ada kendala ..!! Yang pasti ada mode syariah nya,itu yang buat nyaman, setidak nya yaa kan..??!!!",5,Positif,bibit aplikasi ringansimpel udah hampir  tahun pakai bibit nyaman juga belum ada kendala  yang pasti ada mode syariah nyaitu yang buat nyaman setidak nya yaa kan,bibit aplikasi ringansimpel udah pakai bibit nyaman kendala mode syariah nyaitu nyaman setidak nya yaa,"['bibit', 'aplikasi', 'ringansimpel', 'udah', 'pakai', 'bibit', 'nyaman', 'kendala', 'mode', 'syariah', 'nyaitu', 'nyaman', 'setidak', 'nya', 'yaa']",bibit aplikasi ringansimpel udah pakai bibit nyaman kendala mode syariah nyaitu nyaman tidak nya yaa
"Sbnrnya sya suka dngan konsep nabung saham & obligasi 10 rb-nya. Membantu bnget untuk yg pnya bnyak kbtuhan tpi pengen bisa nabung. Tpi agak sulit menjelaskan kekecewaan saat akhirnya kena biaya pmbyaran. Untk buka akun bank jago/RDN Wallet, maaf. Sya agak skeptis tntng keamanan data pribadi & kebijakannya. Kalau bisa, saya usul. Gunakan metode limit sperti aplikasi keuangan Flip. Misal dlam sebulan bebas biaya transfer sbnyak 1-2 kali atau limit berdasar besaran akumulasi 1 bulan.",4,Positif,sbnrnya sya suka dngan konsep nabung saham  obligasi  rbnya membantu bnget untuk yg pnya bnyak kbtuhan tpi pengen bisa nabung tpi agak sulit menjelaskan kekecewaan saat akhirnya kena biaya pmbyaran untk buka akun bank jagordn wallet maaf sya agak skeptis tntng keamanan data pribadi  kebijakannya kalau bisa saya usul gunakan metode limit sperti aplikasi keuangan flip misal dlam sebulan bebas biaya transfer sbnyak  kali atau limit berdasar besaran akumulasi  bulan,sbnrnya sya suka dngan konsep nabung saham obligasi rbnya membantu bnget yg pnya bnyak kbtuhan tpi pengen nabung tpi sulit kekecewaan kena biaya pmbyaran untk buka akun bank jagordn wallet maaf sya skeptis tntng keamanan data pribadi kebijakannya usul metode limit sperti aplikasi keuangan flip dlam sebulan bebas biaya transfer sbnyak kali limit berdasar besaran akumulasi,"['sbnrnya', 'sya', 'suka', 'dngan', 'konsep', 'nabung', 'saham', 'obligasi', 'rbnya', 'membantu', 'bnget', 'yg', 'pnya', 'bnyak', 'kbtuhan', 'tpi', 'pengen', 'nabung', 'tpi', 'sulit', 'kekecewaan', 'kena', 'biaya', 'pmbyaran', 'untk', 'buka', 'akun', 'bank', 'jagordn', 'wallet', 'maaf', 'sya', 'skeptis', 'tntng', 'keamanan', 'data', 'pribadi', 'kebijakannya', 'usul', 'metode', 'limit', 'sperti', 'aplikasi', 'keuangan', 'flip', 'dlam', 'sebulan', 'bebas', 'biaya', 'transfer', 'sbnyak', 'kali', 'limit', 'berdasar', 'besaran', 'akumulasi']",sbnrnya sya suka dngan konsep nabung saham obligasi rbnya bantu bnget yg pnya bnyak kbtuhan tpi ken nabung tpi sulit kecewa kena biaya pmbyaran untk buka akun bank jagordn wallet maaf sya skeptis tntng aman data pribadi bijak usul metode limit sperti aplikasi uang flip dlam bulan bebas biaya transfer sbnyak kali limit dasar besar akumulasi
"semoga fitur bibit bareng bisa ditambah lagi jumlah maksimal anggotanya, karena akan sangat berguna dan membantu untuk kelompok belajar investasi bagi mahasiswa khusunya yang dimana kita semua bisa secara langsung berkontribusi dalam postfolio kelompok didalamnya, mungkin 30 atau lebih. terima kasih!",5,Positif,semoga fitur bibit bareng bisa ditambah lagi jumlah maksimal anggotanya karena akan sangat berguna dan membantu untuk kelompok belajar investasi bagi mahasiswa khusunya yang dimana kita semua bisa secara langsung berkontribusi dalam postfolio kelompok didalamnya mungkin  atau lebih terima kasih,semoga fitur bibit bareng ditambah maksimal anggotanya berguna membantu kelompok belajar investasi mahasiswa khusunya dimana langsung berkontribusi postfolio kelompok didalamnya terima kasih,"['semoga', 'fitur', 'bibit', 'bareng', 'ditambah', 'maksimal', 'anggotanya', 'berguna', 'membantu', 'kelompok', 'belajar', 'investasi', 'mahasiswa', 'khusunya', 'dimana', 'langsung', 'berkontribusi', 'postfolio', 'kelompok', 'didalamnya', 'terima', 'kasih']",moga fitur bibit bareng tambah maksimal anggota guna bantu kelompok ajar investasi mahasiswa khusunya mana langsung kontribusi postfolio kelompok dalam terima kasih
Ini kenapa di aplikasi nya performa portofolionya sedang dalam pembaharuan terus sudah hampir 1 bulan ya Dan di portofolio nya jadi tidak ada form tombol jualnya,3,Positif,ini kenapa di aplikasi nya performa portofolionya sedang dalam pembaharuan terus sudah hampir  bulan ya dan di portofolio nya jadi tidak ada form tombol jualnya,aplikasi nya performa portofolionya pembaharuan ya portofolio nya form tombol jualnya,"['aplikasi', 'nya', 'performa', 'portofolionya', 'pembaharuan', 'ya', 'portofolio', 'nya', 'form', 'tombol', 'jualnya']",aplikasi nya performa portofolio baharu ya portofolio nya form tombol jual
"Awal gunain apk ini setiap transaksi jual maupun beli saham reksadana sih ok cepet. Tapi krna udh sering jual beli saham/ reksadana eh sekarang malah lama masuk saldo RDN. No rekomended deh pokonya untuk apk investasi ini, udah pasti lama. Sampai saat ini penjualan saham saya masih dalam proses, padahal di order pun sudah tidak ada. Sementara, di history penjualan ada, pokoknya ini apk not rekomended lah karena terlalu banyak prosesnya, dan lama masuk saldo RDN.",1,Negatif,awal gunain apk ini setiap transaksi jual maupun beli saham reksadana sih ok cepet tapi krna udh sering jual beli saham reksadana eh sekarang malah lama masuk saldo rdn no rekomended deh pokonya untuk apk investasi ini udah pasti lama sampai saat ini penjualan saham saya masih dalam proses padahal di order pun sudah tidak ada sementara di history penjualan ada pokoknya ini apk not rekomended lah karena terlalu banyak prosesnya dan lama masuk saldo rdn,gunain apk transaksi jual beli saham reksadana sih ok cepet krna udh jual beli saham reksadana eh masuk saldo rdn no rekomended deh pokonya apk investasi udah penjualan saham proses order history penjualan pokoknya apk not rekomended prosesnya masuk saldo rdn,"['gunain', 'apk', 'transaksi', 'jual', 'beli', 'saham', 'reksadana', 'sih', 'ok', 'cepet', 'krna', 'udh', 'jual', 'beli', 'saham', 'reksadana', 'eh', 'masuk', 'saldo', 'rdn', 'no', 'rekomended', 'deh', 'pokonya', 'apk', 'investasi', 'udah', 'penjualan', 'saham', 'proses', 'order', 'history', 'penjualan', 'pokoknya', 'apk', 'not', 'rekomended', 'prosesnya', 'masuk', 'saldo', 'rdn']",gunain apk transaksi jual beli saham reksadana sih ok cepet krna udh jual beli saham reksadana eh masuk saldo rdn no rekomended deh poko apk investasi udah jual saham proses order history jual pokok apk not rekomended proses masuk saldo rdn
"Aplikasi gak jelas saya baru pertama daftar tapi muncul notif NIK sudah dipakai orang lain!kok bisa aplikasi seperti ini tidak ada verifikasi data terlebih dahulu saya hubungi admin untuk konfirmasi bahwa nik tsb punya saya, malah disuruh ke capil jelas jelas didukcapil terdaftar itu nik saya mau dicek berapa kalipun itu data punya saya!! kocak bgt tidak membantu👎🏻",1,Negatif,aplikasi gak jelas saya baru pertama daftar tapi muncul notif nik sudah dipakai orang lainkok bisa aplikasi seperti ini tidak ada verifikasi data terlebih dahulu saya hubungi admin untuk konfirmasi bahwa nik tsb punya saya malah disuruh ke capil jelas jelas didukcapil terdaftar itu nik saya mau dicek berapa kalipun itu data punya saya kocak bgt tidak membantu,aplikasi gak daftar muncul notif nik dipakai orang lainkok aplikasi verifikasi data hubungi admin konfirmasi nik tsb disuruh capil didukcapil terdaftar nik dicek kalipun data kocak bgt membantu,"['aplikasi', 'gak', 'daftar', 'muncul', 'notif', 'nik', 'dipakai', 'orang', 'lainkok', 'aplikasi', 'verifikasi', 'data', 'hubungi', 'admin', 'konfirmasi', 'nik', 'tsb', 'disuruh', 'capil', 'didukcapil', 'terdaftar', 'nik', 'dicek', 'kalipun', 'data', 'kocak', 'bgt', 'membantu']",aplikasi gak daftar muncul notif nik pakai orang lainkok aplikasi verifikasi data hubung admin konfirmasi nik tsb suruh capil didukcapil daftar nik cek kali data kocak bgt bantu
"Saya kasih bintang 1,sudah satu tahun saya menunggu proses pencairan yang sama sekali belum masuk ke rekening sayaa, saya sdah menilai aplikasi ini lebih dari 10,diarahkan untuk kontak whatsapp tapi nomor tidak terdaftar di whatsapp saya minta pertanggungjawaban ya dan dana saya 5 jt mohon untuk dikembalikann!!!!!!",1,Negatif,saya kasih bintang sudah satu tahun saya menunggu proses pencairan yang sama sekali belum masuk ke rekening sayaa saya sdah menilai aplikasi ini lebih dari diarahkan untuk kontak whatsapp tapi nomor tidak terdaftar di whatsapp saya minta pertanggungjawaban ya dan dana saya  jt mohon untuk dikembalikann,kasih bintang menunggu proses pencairan masuk rekening sayaa sdah menilai aplikasi diarahkan kontak whatsapp nomor terdaftar whatsapp pertanggungjawaban ya dana jt mohon dikembalikann,"['kasih', 'bintang', 'menunggu', 'proses', 'pencairan', 'masuk', 'rekening', 'sayaa', 'sdah', 'menilai', 'aplikasi', 'diarahkan', 'kontak', 'whatsapp', 'nomor', 'terdaftar', 'whatsapp', 'pertanggungjawaban', 'ya', 'dana', 'jt', 'mohon', 'dikembalikann']",kasih bintang tunggu proses cair masuk rekening sayaa sdah nilai aplikasi arah kontak whatsapp nomor daftar whatsapp pertanggungjawaban ya dana jt mohon dikembalikann
"Semenjak di kenakan biaya TF antar bank sampai detik ini blm pernah lagi melakukan pembelian 😅,saya paling kalo melakukan pembelian 100rb kadang 200rb per Minggu nya (nyicil dikit2 jadi bukit) jadi klo di kenakan biaya TF ketemu nya rugi 😅, Mungkin buat yg sekali beli di atas 500rb di kenakan biaya TF enggak berasa. Semoga besok saya di beri rejeki yg melimpah biar bisa melakukan pembelian dengan jumlah yg besar 🤲,",3,Positif,semenjak di kenakan biaya tf antar bank sampai detik ini blm pernah lagi melakukan pembelian saya paling kalo melakukan pembelian rb kadang rb per minggu nya nyicil dikit jadi bukit jadi klo di kenakan biaya tf ketemu nya rugi  mungkin buat yg sekali beli di atas rb di kenakan biaya tf enggak berasa semoga besok saya di beri rejeki yg melimpah biar bisa melakukan pembelian dengan jumlah yg besar ,semenjak kenakan biaya tf bank detik blm pembelian kalo pembelian rb kadang rb minggu nya nyicil dikit bukit klo kenakan biaya tf ketemu nya rugi yg beli rb kenakan biaya tf berasa semoga besok rejeki yg melimpah biar pembelian yg,"['semenjak', 'kenakan', 'biaya', 'tf', 'bank', 'detik', 'blm', 'pembelian', 'kalo', 'pembelian', 'rb', 'kadang', 'rb', 'minggu', 'nya', 'nyicil', 'dikit', 'bukit', 'klo', 'kenakan', 'biaya', 'tf', 'ketemu', 'nya', 'rugi', 'yg', 'beli', 'rb', 'kenakan', 'biaya', 'tf', 'berasa', 'semoga', 'besok', 'rejeki', 'yg', 'melimpah', 'biar', 'pembelian', 'yg']",semenjak kena biaya tf bank detik blm beli kalo beli rb kadang rb minggu nya nyicil dikit bukit klo kena biaya tf ketemu nya rugi yg beli rb kena biaya tf asa moga besok rejeki yg limpah biar beli yg
"Bibit bagi sy adalah simpanan penyelamat, sy beli bibit hanya dalam jumlah kecil dan jarang tetapi yang nilainya sedikit itu ternyata menjadi sangat besar dan berharga di saat sy terjepit, bibit jadi solusi yang bisa diandalkan👍",5,Positif,bibit bagi sy adalah simpanan penyelamat sy beli bibit hanya dalam jumlah kecil dan jarang tetapi yang nilainya sedikit itu ternyata menjadi sangat besar dan berharga di saat sy terjepit bibit jadi solusi yang bisa diandalkan,bibit sy simpanan penyelamat sy beli bibit jarang nilainya berharga sy terjepit bibit solusi diandalkan,"['bibit', 'sy', 'simpanan', 'penyelamat', 'sy', 'beli', 'bibit', 'jarang', 'nilainya', 'berharga', 'sy', 'terjepit', 'bibit', 'solusi', 'diandalkan']",bibit sy simpan selamat sy beli bibit jarang nilai harga sy jepit bibit solusi andal
Saya penguna Baru aplikasi bibit ini udh bagus tapi kalau bisa untuk topup mengunakan e wallet dikurangi biaya topupnya soalnya kami yg nabung sebulan 500rb cukup kerasa banyak kurangnya semoga bisa dimurahkan lagi mungkin dari 2.500 ke 1.000 atau bisa lebih murah Atau gratis. maaf jika pendapat ini kurang berguna tapi mohon diterima masukannya,4,Positif,saya penguna baru aplikasi bibit ini udh bagus tapi kalau bisa untuk topup mengunakan e wallet dikurangi biaya topupnya soalnya kami yg nabung sebulan rb cukup kerasa banyak kurangnya semoga bisa dimurahkan lagi mungkin dari  ke  atau bisa lebih murah atau gratis maaf jika pendapat ini kurang berguna tapi mohon diterima masukannya,penguna aplikasi bibit udh bagus topup mengunakan e wallet dikurangi biaya topupnya yg nabung sebulan rb kerasa kurangnya semoga dimurahkan murah gratis maaf pendapat berguna mohon diterima masukannya,"['penguna', 'aplikasi', 'bibit', 'udh', 'bagus', 'topup', 'mengunakan', 'e', 'wallet', 'dikurangi', 'biaya', 'topupnya', 'yg', 'nabung', 'sebulan', 'rb', 'kerasa', 'kurangnya', 'semoga', 'dimurahkan', 'murah', 'gratis', 'maaf', 'pendapat', 'berguna', 'mohon', 'diterima', 'masukannya']",penguna aplikasi bibit udh bagus topup mengunakan e wallet rang biaya topupnya yg nabung bulan rb rasa kurang moga murah murah gratis maaf dapat guna mohon terima masuk
"Sumpah ini aplikasi bagus banget simple, gue keilangan HP, dan gue cerita ke admin bibit, diarahin buat benerin data secara manual and jujurly simple cepet bnget sekarang udah bisa login lagi😭🤝 ga kaya sebelah ribet",5,Positif,sumpah ini aplikasi bagus banget simple gue keilangan hp dan gue cerita ke admin bibit diarahin buat benerin data secara manual and jujurly simple cepet bnget sekarang udah bisa login lagi ga kaya sebelah ribet,sumpah aplikasi bagus banget simple gue keilangan hp gue cerita admin bibit diarahin benerin data manual and jujurly simple cepet bnget udah login ga kaya sebelah ribet,"['sumpah', 'aplikasi', 'bagus', 'banget', 'simple', 'gue', 'keilangan', 'hp', 'gue', 'cerita', 'admin', 'bibit', 'diarahin', 'benerin', 'data', 'manual', 'and', 'jujurly', 'simple', 'cepet', 'bnget', 'udah', 'login', 'ga', 'kaya', 'sebelah', 'ribet']",sumpah aplikasi bagus banget simple gue keilangan hp gue cerita admin bibit diarahin benerin data manual and jujurly simple cepet bnget udah login ga kaya belah ribet
"Kecewa banget skrng mau top up aja ada biaya pembayarannya... Kalau diitung itung rugi banget kalau nabung dengan pola yang sering sebulan sampai 5x keatas terlebih saya konsennya di RDPU yg keuntungannya kecil, malah biaya pembayarannya lebih besar ketimbang keuntungannya",2,Negatif,kecewa banget skrng mau top up aja ada biaya pembayarannya kalau diitung itung rugi banget kalau nabung dengan pola yang sering sebulan sampai x keatas terlebih saya konsennya di rdpu yg keuntungannya kecil malah biaya pembayarannya lebih besar ketimbang keuntungannya,kecewa banget skrng top up aja biaya pembayarannya diitung itung rugi banget nabung pola sebulan x keatas konsennya rdpu yg keuntungannya biaya pembayarannya ketimbang keuntungannya,"['kecewa', 'banget', 'skrng', 'top', 'up', 'aja', 'biaya', 'pembayarannya', 'diitung', 'itung', 'rugi', 'banget', 'nabung', 'pola', 'sebulan', 'x', 'keatas', 'konsennya', 'rdpu', 'yg', 'keuntungannya', 'biaya', 'pembayarannya', 'ketimbang', 'keuntungannya']",kecewa banget skrng top up aja biaya bayar diitung itung rugi banget nabung pola bulan x atas konsennya rdpu yg untung biaya bayar ketimbang untung
"2 tahun lebih pake bibit OK OK aja... Tp setelah update ini kok gak bisa cek performa portofolio ya?🤔 (Hari ini untung / rugi berapa sesuai nonimal investasi) Soalnya bibit versi lama bisa liat performa portofolionya, mohon diperbaiki 🙏",5,Positif, tahun lebih pake bibit ok ok aja tp setelah update ini kok gak bisa cek performa portofolio ya hari ini untung  rugi berapa sesuai nonimal investasi soalnya bibit versi lama bisa liat performa portofolionya mohon diperbaiki ,pake bibit ok ok aja tp update gak cek performa portofolio ya untung rugi sesuai nonimal investasi bibit versi liat performa portofolionya mohon diperbaiki,"['pake', 'bibit', 'ok', 'ok', 'aja', 'tp', 'update', 'gak', 'cek', 'performa', 'portofolio', 'ya', 'untung', 'rugi', 'sesuai', 'nonimal', 'investasi', 'bibit', 'versi', 'liat', 'performa', 'portofolionya', 'mohon', 'diperbaiki']",pake bibit ok ok aja tp update gak cek performa portofolio ya untung rugi sesuai nonimal investasi bibit versi liat performa portofolio mohon baik
Bintang satu karena bibit sekarang agak ribet cara penggunaannya. Dulu daftar selesai tinggal investasi. Sekarang harus update bibit plus. Sungguh mengecewakan sih gak kayak apk investasi lainnya. Mana pakai bank jago lagi agar bisa top up. Kerjasama sih kerjasama tapi kesannya memaksa pelanggan untuk menjadi bagian dari kerjasama. Dahlah gak lagi invest di apk ini.,1,Negatif,bintang satu karena bibit sekarang agak ribet cara penggunaannya dulu daftar selesai tinggal investasi sekarang harus update bibit plus sungguh mengecewakan sih gak kayak apk investasi lainnya mana pakai bank jago lagi agar bisa top up kerjasama sih kerjasama tapi kesannya memaksa pelanggan untuk menjadi bagian dari kerjasama dahlah gak lagi invest di apk ini,bintang bibit ribet penggunaannya daftar selesai tinggal investasi update bibit plus sungguh mengecewakan sih gak kayak apk investasi pakai bank jago top up kerjasama sih kerjasama kesannya memaksa pelanggan kerjasama dahlah gak invest apk,"['bintang', 'bibit', 'ribet', 'penggunaannya', 'daftar', 'selesai', 'tinggal', 'investasi', 'update', 'bibit', 'plus', 'sungguh', 'mengecewakan', 'sih', 'gak', 'kayak', 'apk', 'investasi', 'pakai', 'bank', 'jago', 'top', 'up', 'kerjasama', 'sih', 'kerjasama', 'kesannya', 'memaksa', 'pelanggan', 'kerjasama', 'dahlah', 'gak', 'invest', 'apk']",bintang bibit ribet guna daftar selesai tinggal investasi update bibit plus sungguh kecewa sih gak kayak apk investasi pakai bank jago top up kerjasama sih kerjasama kesan paksa langgan kerjasama dah gak invest apk
Begini saya senang top up reksadana walaupun tidak banyak. Cuman kok sekarang bayar ya kalau mau top upnya. Padahal uang yg di top up gak banyak. Pen nabung pelan2. Tapi malah gini. Dan lagi ketika kita sudah jual reksadananya kok malah tidak sama seperti sebelum jual.. Walaupun setelah potong biaya? Mohon diperbaiki apalagi setelah di upgrade makin gak2 aja.,4,Positif,begini saya senang top up reksadana walaupun tidak banyak cuman kok sekarang bayar ya kalau mau top upnya padahal uang yg di top up gak banyak pen nabung pelan tapi malah gini dan lagi ketika kita sudah jual reksadananya kok malah tidak sama seperti sebelum jual walaupun setelah potong biaya mohon diperbaiki apalagi setelah di upgrade makin gak aja,senang top up reksadana cuman bayar ya top upnya uang yg top up gak pen nabung pelan gini jual reksadananya jual potong biaya mohon diperbaiki upgrade gak aja,"['senang', 'top', 'up', 'reksadana', 'cuman', 'bayar', 'ya', 'top', 'upnya', 'uang', 'yg', 'top', 'up', 'gak', 'pen', 'nabung', 'pelan', 'gini', 'jual', 'reksadananya', 'jual', 'potong', 'biaya', 'mohon', 'diperbaiki', 'upgrade', 'gak', 'aja']",senang top up reksadana cuman bayar ya top upnya uang yg top up gak pen nabung pelan gin jual reksadananya jual potong biaya mohon baik upgrade gak aja
"Sekarang dikenakan biaya tambahan jika ingin menabung. Update malah bikin kecewa, dulu-dulu ngga begini bibit tolong di perbaiki lg. Nabung dj pasar uang dikenakan biayanya lemayan retrun sama biaya tambahan gedean biaya tambahan :( min tolong lah ya dj perbaiki",1,Negatif,sekarang dikenakan biaya tambahan jika ingin menabung update malah bikin kecewa duludulu ngga begini bibit tolong di perbaiki lg nabung dj pasar uang dikenakan biayanya lemayan retrun sama biaya tambahan gedean biaya tambahan  min tolong lah ya dj perbaiki,dikenakan biaya tambahan menabung update bikin kecewa duludulu ngga bibit tolong perbaiki lg nabung dj pasar uang dikenakan biayanya lemayan retrun biaya tambahan gedean biaya tambahan min tolong ya dj perbaiki,"['dikenakan', 'biaya', 'tambahan', 'menabung', 'update', 'bikin', 'kecewa', 'duludulu', 'ngga', 'bibit', 'tolong', 'perbaiki', 'lg', 'nabung', 'dj', 'pasar', 'uang', 'dikenakan', 'biayanya', 'lemayan', 'retrun', 'biaya', 'tambahan', 'gedean', 'biaya', 'tambahan', 'min', 'tolong', 'ya', 'dj', 'perbaiki']",kena biaya tambah tabung update bikin kecewa duludulu ngga bibit tolong baik lg nabung dj pasar uang kena biaya layan retrun biaya tambah gede biaya tambah min tolong ya dj baik
"Saya berikan bintang 1 karena kecewa berat, saya ingin upgrade ke bibit plus, tapi selalu gagal karena e-ktp tidak sesuai, padahal semua data yang saya masukkan sudah sesuai e-ktp saya, sialan!!.",1,Negatif,saya berikan bintang  karena kecewa berat saya ingin upgrade ke bibit plus tapi selalu gagal karena ektp tidak sesuai padahal semua data yang saya masukkan sudah sesuai ektp saya sialan,bintang kecewa berat upgrade bibit plus gagal ektp sesuai data masukkan sesuai ektp sialan,"['bintang', 'kecewa', 'berat', 'upgrade', 'bibit', 'plus', 'gagal', 'ektp', 'sesuai', 'data', 'masukkan', 'sesuai', 'ektp', 'sialan']",bintang kecewa berat upgrade bibit plus gagal ektp sesuai data masuk sesuai ektp sial
"Saya turunin bintangnya dulu, saya mau upgrade ke bibit plus tapi di tolak infonya harus masukan data no hp sesuai dengan yang terdaftar di app, padahal sudah saya masukan sesuai dan tidak ada no lain lagi. Mohon segera penjelasanya",3,Positif,saya turunin bintangnya dulu saya mau upgrade ke bibit plus tapi di tolak infonya harus masukan data no hp sesuai dengan yang terdaftar di app padahal sudah saya masukan sesuai dan tidak ada no lain lagi mohon segera penjelasanya,turunin bintangnya upgrade bibit plus tolak infonya masukan data no hp sesuai terdaftar app masukan sesuai no mohon penjelasanya,"['turunin', 'bintangnya', 'upgrade', 'bibit', 'plus', 'tolak', 'infonya', 'masukan', 'data', 'no', 'hp', 'sesuai', 'terdaftar', 'app', 'masukan', 'sesuai', 'no', 'mohon', 'penjelasanya']",turunin bintang upgrade bibit plus tolak info masuk data no hp sesuai daftar app masuk sesuai no mohon jasa
