userName,score,at,content
Asus Phone,5,2025-01-07 11:18:04,"Pake Kode Reff BOSTER saat awal km mendaftar, dapatkan bonus cesbeknya langsung, aplikasi terpuji dan terpercaya sudah terdaftar di OJK bagus banget buat investasi pemula dan menabung masa mendatang, saya puas dengan pelayanan aplikasi bibit karena Cs ramah tamah baik dan senantiasa membantu apa yang tidak kita mengerti. saya puji syukur akan adanya aplikasi terbaik dan terpercaya ini membuat aku menjadi lebih semangat menabung di masa mendatang dan kemudian hari."
Obby Supreme,5,2025-01-05 03:23:23,"Alhamdulillah ini aplikasi memang sangat cocok untuk pemula, soalnya mudah dipahami dan tidak ribet dalam penggunaannya."
Aditiya Putrapratama,5,2025-01-03 08:59:12,Aplikasinya mudah digunakan dan dapat dimengerti bagi pemula
vanilla latte_,1,2025-01-02 13:40:14,"udah transfer dari tgl 28, sampe sekarang uangnya ga masuk2. baru ga ada tindak lanjut. di chat melalu8 whatsapp tidak direspon. hati2 ya kalian yg sdh nabung banyak"
Amar jebal Elbalad,5,2025-01-02 09:13:23,"semoga bisa lebih baik lagi dan pencairan bisa lebih mudah , semudah transfer melalui aplikasi M-banking."
Jennieee ee,3,2025-01-01 13:39:32,"Awal.pakai bagus, sekarang pas mau buka aplikasi tidak bisa padahal jaringan saya bagus tapi tulisannya tidak ada internet, tolong segera perbaiki"
Rendi Elparado,5,2024-12-27 22:52:48,Chart nya bisa di bantu lebih detail secara real time setiap pergerakan agar mempermudah investor menentukan pilihannya Untuk semua fitur mudah di pahami
Muhammad Ali,5,2024-12-26 13:01:41,Terimakasih bibit aplikasi rekomendasi investasi yang sangat super aman dan nyaman mudah dipahami dan amanah 💸💸😘
rafiuu Miuu,5,2024-12-24 19:12:43,baik tingkatkan lagi ya sistem keamanan nya
Muhammad Syarif hidayat,3,2024-12-24 00:49:08,"Halo bibit, saya punya akun di bibit tapi email dan nomor telepon saya sudah tidak aktif lagi dan email saya sudah hilang bisakah saya ganti no telepon dan email saya."
Ilham Mashdar Roihan,5,2024-12-23 12:50:23,"Aplikasinya sangat membantu dan mudah untuk di pelajari bagi investor pemula. Jangan lupa juga bagi yang mau daftar disarankan pake kode referal ""oknanam"" karena bakalan dapat cashback 25k, saya juga dulu daftar pake kode referal dan dapat cashback 25k. Semangat para investor 💪"
Ady Putra,5,2024-12-22 22:24:03,Saran untuk bibit agar kedepannya bisa untuk investasi di kripto juga. Sehingga tidak perlu ganti2 aplikasi untuk investasi di kripto.
Yanuar Satria Kamal,5,2024-12-22 02:32:09,"sebenarnya sudah lama pakai. cuman belum rutin, sekarang coba untuk nabung rutin disini. UI interface mudah digunakan dan simpel cuman minusnya penjelasan untuk orang awam agak susah"
Rades Jihan,5,2024-12-12 16:37:21,"bagus banget untuk investor pemula,,reksadana pasar uang transaksi cepat dan pencairan juga cepat..pokoknya rwcomended untuk di coba"
Aghnia Urfiyani,5,2024-12-12 15:20:45,"jujur suka bangettt! keren banget aplikasinya, memudahkan untuk pemula. di aplikasinya juga ada semacam video pembelajaran dan media belajar yang lain, jadi bisa nambah wawasan bagi yang pemula. keren pokonya!"
Denta Ard,1,2024-12-11 21:02:29,"Woi tolong lah, kalau ada yang mengajukan penjualan itu dipermudah. Ini tiba-tiba harus nunggu 4 hari buat dapat uang hasil penjualan. Saran gue yaa, Kasih tahu yang gede ke user saat pembelian obligasi atau pasar uang jika pencairan penjualanya itu ada waktunya, jangan pas usernya mau jual, baru klen kasih tahu kntllll!!!. Ini kan membuat kalkulasi jadwal user jadi berantakan. Dah gitu aja"
Bagas Utama Putra,1,2024-12-10 07:47:30,"verifikasi ktp terlalu selalu bernasalah padahal koneksi internet saya lancar,udah pakek starlink loh jaringan nya masih aja susah"
Lisa Normalasari,2,2024-12-09 16:26:18,"Aplikasi stuck di halaman logo, alasannya periksa koneksi, koneksi saya lancar2 saja nih, apa masalah nya dong?"
Anang Ma'ruf,4,2024-12-09 10:59:20,"cukup simpel penggunaan nya, mudah dipahami, terimakasih 😁"
Enggal David S,5,2024-12-08 16:36:55,aplikasi terpercaya.. saran saya untuk kedepannya mungkin aplikasi bibit bisa mempercepat pencairan. Karena mengenal zaman Gen Z yang ingin serba Instan
Imran mediatron,5,2024-12-07 12:21:16,"Tambahkan menu untuk investasi emas dong, bbrapa platform investasi emas UI kurang bagus"
dewi nur aisah,3,2024-12-07 09:34:07,Kenapa aplikasinya ga bisa di buka? kuota masih banyak dan buat youtube an bisa..siyal kuat tp keterangan periksa koneksi internet?!
Sita Luluk,5,2024-12-06 22:35:46,"aplikasii yg sangat membatuu , ga buat investasi sih kalo di aku , tp lebih ke biar ga ke ambil² wkwkwk , alias bener² nabungg , makasiiii bibit 🤍"
Iqbal Jonsu,5,2024-12-05 11:14:38,"Aplikasi mudah,simple.semoga kedepan bibit tambah maju."
Angga Noz,5,2024-12-03 22:08:56,"lumayan untuk saya yang suka dikit2 ngeluarin uang, jadi bisa ketahan karena di tabung di bibit."
Yayah Kay,1,2024-12-02 07:45:52,"Saya juga tau verifikasi itu penting. Tp Cs Anda bertele2 dan terkesan ngerjain. Probing datanya gak sekalian, dan gak jelas arahannya. Sudah lampirin semua data tiba2 disuruh ajuin ulang dengan alasan baju yg saya pakai berbeda di foto selfi dengan foto memegang data. Dan harus memakai baju yang sama. Coba deh cek lagi history chat saya dengan CS anda.. perhatikan lagi SOP nya"
Redo Pily,5,2024-12-01 00:49:14,Aplikasi nya bagus tapi kenapa gak buka aja khusus para pelajar min? Kami para pelajar ingin juga berinvestasi
Yuli Fitriani,5,2024-11-30 01:16:02,"Sangat bagus reksadana dan gampang dimengerti, saya sudah mencoba nya sangat lah bagus 👍 (Yuli Fitriani)"
Aditya Aditya,5,2024-11-27 13:52:05,"Fitur pencairan instan untuk beberapa rdpu membuat bibit menarik, apalagi jika jumlah reksadana ditambah seperti yang sudah ada di aplikasi-aplikasi sebelah"
Arsyad nur izar,5,2024-11-26 18:38:00,"Alternatif investasi selain deposito, lebih menguntungkan karena tidak kena pajak untuk produk reksadana..dicoba aja gaes,masukin kode ini : bibitsamasama Biar dapat cashback mayan kan"
warjanah,5,2024-11-26 15:59:38,sangat bermanfaat menggunakan bibit utk investasi dan mudah penggunaannya maksih bibit
Emilia Theodorus,1,2024-11-26 10:15:17,Setelah didownload baru tau kalo untuk beli saham hanya bisa dilakukan jika upgrade ke bibit plus/premium. Penutupan akun ribet.
Ahmad Rasyid Pradava (Davaa.),5,2024-11-25 06:10:31,"Kereen banget nih aplikasi, mudah dipahami khususnya pas saya Pertama kali utk investasi Rdpu. Sekarang sudah mulai ke saham untuk jangka panjang. Rekomendasi pokoknya"
Jum Haris,2,2024-11-21 08:10:27,Hebat kali nih aplikasi.. Uang gw belum cair juga padahal udah lewat 7 hari bursa kerja.. Mantap2
Angelly Gianina Ayuningrum,5,2024-11-19 11:04:20,sangat membantu untuk pemula memulai konsisten investasi. jangan liat nominalnya tapi konsisten akan membuahkan hasil yg baik dengan minim resiko karena reksadana
Utamy Indri,1,2024-11-18 07:54:38,ini knp yaaaa udah 4 hari ini app nya g bisa di buka...??? udah masukin pin mlh muter2 doank. klo jaringan g mungkin soal nya buka app lain bisa.. tolong dunk segera di perbaiki...
Riyan Fernando,2,2024-11-16 21:00:13,"sorry saya kasih rating rendah di karena kan akhir² ini apk nya sangat ngelag mau login aja susah, padahal sinyal dan kuota saya masih banyak. tolong di perbaiki lahi sistem nya"
Kurniawan Budhi,2,2024-11-16 11:53:35,"Bintang 2 dulu, nnti sy update klo terjawab. Kenapa app bibit di HP saya tidak bisa di buka? Selalu periksa koneksi padahal koneksi sedang lancar, sebelum2nya normal, saat saya stelah membeli SBN, saya akan cek status namun sampai saat ini app BIBIT di hp saya belum bisa di buka, apakah ada maintenance atau bagaimana? Sudah 1 hari 1 malam, terhitung dari tgl 15 november 2024"
Lemon Mon,4,2024-11-12 20:35:54,"Apk sudah bagus, minus nya cuma 1, penjualan terlalu lama, harus nunggu 7 hari baru uang masuk k saldo RDN, klo lagi butuh uang banget nih teepaksa nunggu 7 hari, klo bisa di perbaiki ya sistem pencairan dana nya, supaya bisa di percepat pencairan ny tq bibit"
Procen Official,1,2024-10-22 17:57:45,"Tolong dong lebih ditingkatkan lagi terkhusus yang mau widraw saya sebagai pengguna cukup agak kecewa sih, untuk deposit aja cepet proses nya langsung masuk tapi untuk Widraw apalagi widraw dihari Jum'at sampai hari Senin pagi belum cair , padahal bener bener lagi butuh banget cepet duit nya"
Azis Firmansyah,1,2024-10-21 10:47:53,Lambat banget verifikasinya. Giliran jam buka saham & grafik sudah pada gerak baru selesai verifikasi. Auto ketinggalan kereta lah!
Kafi Abdur Rahim,1,2024-10-13 11:42:07,"Kacau banget aplikasinya, mau narik dana aja lama banget saya udah urus ini 2 minggu dan sampe sekarang belom terselesaikan, padahal saya sudah mengikuti semua prosedur, tapi gak ada penanggulanan yang baik, malah terkesan berbelit-belit, kapok lah pake aplikasi ini, mending ke sebelah aja"
Fahri Abdul Fattah,2,2024-10-10 18:11:19,"banyak ribet nyaaa, gak simple dan sulit . buat sayaa yang baru baru,kurang gampang Memahami nya. Pembelajaran nyaa gak mudah di pahami."
perth prthiwi,1,2024-10-03 19:36:26,"Lucunya untuk ganti setingan/membatalkan pengajuan RDN dari Jago ke BCA berbelit²+dilempar²+lama, bilangnya buat ganti RDN adalah hanya bisa aplikasi Stockbit. Lah aplikasi segede itu untuk perbaiki setelan RDN peserta/nasabah sendiri aja malah lempar²an ke aplikasi lain. Kog pas sinkronize bisa cepet² aja? Pas regristrasi ulang langsung otomatis ke Jago. Saran saya kalo mau condong kesalah satu bank, caranya jangan begitu."
Wastana Samagaha,3,2024-09-27 15:52:13,"Agak sedikit kecewa sih, ya, tadinya sudah tertarik, sedang proses registrasi malah, tapi berhubung foto saya di ktp tidak jelas, sementara saya tidak punya SIM maupun paspor, disarankan untuk membuat KTP baru, yang dimana membuat KTP baru itu, ya tau lah ya. Tidak ada opsi lain 'kah? Malas bikin KTP barunya."
Aditia,1,2024-09-25 11:08:36,Aplikasi apaan coba saya mau validasi data di karenakan hp saya hilang susah bener ngurusnya. Saya sudah ikuti semua ketentuannya udh foto KTP dan Poto pegang KTP ternyata harus ada pegang tanda tangan tempatnya harus sama lagi sedangkan itu lagi di kontrakan om saya mana ada kertas ama pulpen gak bisa beda tempat Ama gak boleh ganti baju lagi buknya yang di liat data Ama muka bukn baju atau pun background belakang foto background aja harus sama semua
Alex O.A.S,1,2024-09-23 14:26:32,Permasalahan dari aplikasi 1. Didalam proses verifikasi sangat lambat (tidak bisa verifikasi) dan sekarang belum ada informasi terbaru. 2.Proses ribet dan keamanan belum terjamin 100% secara opsional. Mohon diberikan tanggapannya dan jangan hanya di read.
Vallemil Piero,1,2024-09-15 09:53:58,"Tiba tiba saldo gopay hilang 100 rb setelah di liat kok dah melakukan pembayaran Reksadana? Padahal udah gak pake apk bibit lagi, terus kenapa bisa transaksi sendiri ? Tanpa sepengetahuan pemiliknya ? Dan saya merasa tidak melakukan pembayaran Reksadana ?"
Amaliun Gaming,1,2024-09-01 11:06:56,Saya bukan tidak suka dengan bibit tapi ni apk sering kali pembayaran otomatis dari 2 akun berbeda ada 2 akun akun 1 lagi tu 3x pembayaran otomatis terakhir uang selalu tiba tiba kosong. Tolong lh admin biar member baru tidak terkena seperti ini.
Jack,3,2024-08-31 22:35:17,"Aplikasinya bagus, use interface menarik dan mudah digunakan, sayang sekali saham tidak dijadikan satu dalam aplikasi jadi harus download aplikasi saham lagi. Harap kembali seperti dulu saham dan reksadana di gabung jadi tidak ribet"
SAMAS,5,2024-08-25 08:09:05,"cocok buat pemula yang ingin invest reksadana, gak sulit karena mudah dipahami. Semoga kedepannya bisa fleksibel dan stabil saat digunakan."
Gilang Andhika,2,2024-08-24 18:02:18,"Katanya reksadana yang ada gambar kilat nya kalo di cairin instan tapi nyatanya -+5 hari baru cair, kalo gitu itu namanya ga instan, mohon di benerin lagi udah make bertahun"" Malah gini."
I Kadek Febri,5,2024-08-22 16:36:39,"Akhirnya setelah sekian lama saya sering melakukan update pada aplikasi Bibit, saya bisa mengaktivasi Rekening Dana Nasabah (RDN) dari bank Jago yang sebelumnya belum bisa diaktivasi melalui Bibit dan yang terpenting adalah terdapat fitur Auto SIP sehingga saya bisa melakukan pemesanan Reksa Dana secara otomatis sesuai dengan jadwal yang telah ditentukan sebelumnya dan mudah-mudahan aplikasi bisa bermanfaat bagi semua orang di masa mendatang"
Mohamad Galuh Prasetyo,5,2024-08-19 21:09:00,"dari segi aplikasi sangat baik, keuntungan yang diberikan juga lumayan, aku pribadi belum berani main saham, cukup main di obligasi dan pasar modal, tujuan utama nabung di bibit sebenarnya menghindari bunga bank dan keinginan buat beli barang barang, kalau di bibit jadinya aman gak bakalan ke pakek, bonusnya duitnya nambah, umr jogja pun tetap bisa investasi"
Andika Fatkur Pratama,5,2024-08-19 20:04:08,"Sangat cocok untuk pemula, fitur & tampilan yang sangat oke. Lebih bagus lagi kalo ditambah lagi untuk produk Reksadana nya biar lebih fleksibel lagi dalam memilih produk reksadana, supaya lebih simpel di satu aplikasi"
Muhammad Pahday,2,2024-08-06 07:29:50,"Saya kasih bintang dua dulu, karena ketika saya melakukan upgrade ke bibit plus saya tidak sengaja memencet RDN bank jago padahal saya ingin menggunakan BCA, lalu tidak bisa di kembalikan ke ke tahap sebelumnya yaitu pemilihan RDN, mungkin ini bisa di perbaiki oleh bibit"
Alip Sulaiman,1,2024-08-01 21:07:35,"Sudah pernah daftar dan punya akun namun handphone hilang hingga semua kontak dan akun juga ilang ,,sekali mau daftar lagi gak bisa delete akun yg lama,terkesan di bibit ditanggapi namun tidak di proses"
muhammad iqbal khudhari,1,2024-07-28 19:03:25,"Semakin kesini semakin tidak bisa dengan mudah diakses aplikasi bibit, setiap buka aplikasi bibit pasti error cek koneksi, padahal jaringan super lancar, wifi dan provider buat streaming lancar, bintang 1 buat developer bibit"
Student-R,5,2024-07-23 21:40:28,"Pakai sejak sejak zaman pandemi UI nya bagus informatif dan produk2nya terus ditambah, inovasinya banyak, cocok untuk pemula semoga semakin bagus"
Willy Syaputra,5,2024-07-11 13:38:04,"Saya sudah menabung rutin setiap bulan dan ditambah setiap minggu saya melakukan pembelian reksa dana pasar uang, jadi saya berharap aplikasi ini bisa menjadi wadah yang aman untuk menabung agar keuangan saya dimasa depan membaik.. apalagi utk pembelian nya gratis dengan memakai bank jago dan bisa auto debit..terima kasih semoga amanah terus"
Syaikhul Ghulam,5,2024-07-01 12:18:54,"Aplikasinya bagus, mohon untuk pihak developer kedepannya ada perubahan/penambahan S&K saat mau daftar di bibit, soalnya banyak Temen saya ingin berinvestasi di Bibit tapi terkendala tidak mempunyai Rekening Bank pribadi, Trimakasih 😀😁🙏"
ilham surya pratama,3,2024-06-23 00:01:00,Mohon diperbaiki untuk dari sistem rdn wallet sama nilai investasi di portofolionya. Diriwayat transaksi deposit rdn wallet sama nilai portofolio yg tertulis berbeda. Ada selisih yg lumayan banyak. Pemakaian belum ada 1bln. Bukan masalah nilainya. Tpi rasa percaya dan kenyamanannya menjadi berkurang. Mohon kerjasamanya.
Naruto kids,1,2024-06-20 10:49:08,"Aplikasi ya bobrok , ngerestar sendiri ga bisa buka apk ,malah minta ganti sandi new dan email ya ga bisa d gunakan , untung ga banyak naro d sini , kemakan iklan saya , uninstall dahh"
Juwita Maharani,5,2024-06-05 19:24:25,"Saya sudah mencoba semua apk investasi yg legal,bibit unggul dalam produk reksadana dan yang paling saya suka adalah cs yang ramah dan fast respon.Banyak apk legal sejenis yg secara fitur mungkin lebih baik,namun sayang tidak di imbangi dgn cs yg memadai."
opeT Gaming,2,2024-05-28 21:37:07,"Daftarnya bener² ribet bnget, ntah dari tahap pertama sampai tahap apa atau berapa saya ga tau, intinya jangka waktu saya untuk mendaftar agar bisa berinvestasi 5-6 hari, ini pun tinggal tahap terakhir dan besok belum tentu bisa selesai. Dalam beberapa verifikasi data diri pun ada beberapa masalah juga yang mempersulit dan mengulur waktu. Tolong lh.. Yang tadinya pengen invest tau daftarnya kyk gini tohh jadi males ya."
Sevira Paluriza,5,2024-05-26 08:10:26,"Selama nabung di bibit selalu untung. Mudah aplikasinya dan lengkap, semua aplikasin investasi ini paling rekomen. Semangat terus bibit semoga banyak juga yang nabung di bibit"
Apa Kabar,1,2024-05-14 00:23:10,Bibit ada bug saat geser grafik aplikasi ngeleg dan tidak bisa lihat detail dari grafik saat geser Border kemarin bisa dalam seminggu terakhir tetap lemot saat di sentuh grafik karena penasaran saya pake perangkat lain tetap sama ngeleg
Imam Hanafi,5,2024-05-13 20:53:55,"Menurut pendapatku mengenai aplikasi bibit bagus untuk invesment pemula krna fitur nya mudah & sangat mudah di pahami, setelah saya memakai bibit alhamdulillah bisa mendapatkan keuntungan walaupun tdak terlalu besar, sangat bagus banget untuk pemula"
Muhammad Fahrul ROZI,4,2024-05-13 05:32:22,"Bismillah, awal"" saya merasa nyaman menggunakan bibit tapi kenapa lama kelamaan saat membeli waktu nya sangat lama di proses, Maksimal 3 hari setelah pembelian produk kita akan di tambahkan ke portofolio dan siap.mendapatkan keuntungan tapi saya sudah menunggu hampir 5 harian saya blm produk dan blm juga produk baru saya mendapat kan keuntungan"
Yogatama Dwi Prasetya,3,2024-05-11 21:11:51,"Aplikasi bagus dan user friendly, cuma ada bug yang mengganggu ketika saya ingin melihat grafik saham, awal - awal lancar tapi langsung freeze itu aplikasi gak bisa back ataupun scroll. Semoga segera di fixing ini bug, karena mengganggu banget dan menurunkan experience user dalam menggunakan aplikasi"
Rini Dewi,2,2024-05-06 12:05:19,"Sumpah lama banget, dari tgl 2 verifikasi bibit sampe tgl 6 sekarang, ga kelar-kelar. Kemaren gagal krn data ga terbaca, giliran udah diperbaiki lama bnget verifikasinya. Capek nunggunya, niat mau investasi secepatnya malah dibuat nunggu mulu. Tolong dong diatasi secepatnya."
Yusuf Matra,2,2024-05-06 06:39:49,"Makin lemot euy, kasusnya udah 1 tahun lebih gak buka aplikasi bibit tapi rajin diupdate aplikasinya. Hari ini waktu buka bibit stuck di splash screen 😂"
adam takur,1,2024-05-05 09:54:32,"Mau daftar aj di persulit dari bulan April gagal melulu. Daftar pertama foto diri sama KTP ,status gagal. Perbaikan foto diri sama SIM A, kembali lagi gagal. Perbaikan kembali foto diri sama SIM A + KTP, kembali lagi gagal. Chat admin idak membantu jadi males."
Jashira Williams,1,2024-05-03 16:16:43,"Aku ngerasa ini apps kyknya palsu deh, kyk binomo bukan naik malah turun drastis banget kalo lewat dari 500rb ke atas saldo saya kalau 100rb gk pernah tuh ada yang namanya turun uangnya mau pakai bibit kyknya gk lagi² deh bukanya untung malah buntung"
Indra Pratama,1,2024-05-01 17:36:42,"verifikasi akun lama. saat pengajuan untuk menghapus akun juga lama padahal sudah ikuti prosedur yang diminta. jawaban template dari cs yang setiap ditanya jawabnya ""kami cek terlebih dahulu ya,kak"" repeat 9999x tapi ga ada progres🗿🗿🗿"
Surya Putra,1,2024-04-25 20:07:16,"Kenapa tiba tiba aplikasinya terkeluar sendiri????? Terus muncul tulisan rubah pin??? Kemudian kenapa email yang saya daftarkan tidak masuk ke aplikasinya?????? Gak jelas aplikasinya tiba tiba keluar sendiri, begitu merubah pin gak bisa, terlalu ribet Padahal cukup kirim kode otp ke nomor hp selesai Sudah melakukan investasi tapi malah berulah?????"
Reza Muhammed,4,2024-04-22 19:18:35,Aplikasinya terlalu banyak kendala yang pertama dalam proses pembeliannya sudah berhasil dan yang kedua kendalanya ada di pendaftaran akun dan kendalanya ada di pemasarannya jadi nggak tahu apakah pemasarannya itu berjalan apa tidaknya
Sutarjo,1,2024-04-20 02:40:25,Ubah ke rekening bank pencairan harus verifikasi dulu seperti bikin akun bank. Ktp digital otomatis tidak bisa buat selfi foto. Bank pencairan yang lama sudah dorman. Ini artinya investasi di bibit tidak bisa di jual/ambil.
M Ikhwanul Arifin Nasution,3,2024-04-16 11:19:24,"Belakangan ini akun sering ke logout sendiri ""sesi penggunaan akun telah selesai silahkan login kembali"". Dan otentikasi login ulang selalu berulang. Ada apa ini? Pdhal saya sendiri g ada coba"" Hal aneh dgn Hp yg saya pakai untuk keperluan bisniss saya sendiri. Tambahan verifikasi biometriknya jga entah bagaimana sering error pdhal fingerprint saya aman dan buat aplikasi serupa pakai biometrik jga aman sperti bank jago, stockbit dll."
sis Wanto,2,2024-04-14 08:33:16,"proses pencairan sangat_sangat lama sekali, udah hampir 3 Minggu belum juga cair, padahal waktu topup g sampai 1 menit udah masuk. klau butuh uang dadakan TDK bisa andalkan apk nya."
Sanss,3,2024-04-10 14:54:54,"Kekurangannya BIBIT itu saat lebaran tidak ada pemrosesan penarikan atau pemasukan.. Ya saya ngerti karna lebaran.. Cuma seharusnya, aplikasi atau situs penyedia jasa keuangan seperti ini.. seharusnya bisa transaksi di hari"" seperti lebaran.. Karena kita tidak tau kapan uang kita di butuhkan.. Sekelas nyimpen di dana darurat aja yg bisa instan narik masih terbatas dan tetap kena pending... Seharusnya bisa seperti penyedia keuangan atau invest macam jago atau reksadana tokped yg benar instan.."
Ghost Rider 19,1,2024-04-06 08:37:36,sya coba nabung rutin 3 bulan yang pas bulan ke tiga kok penipuan? awalnya telat gak sesuai jadwal karena kehabisan saldo. tetapi besoknta sudah saya isi dan masukan ke nabung rutin. tapi misi belum kelar. aku cuman nabung ditanggal yang berbeda aja loh. dipersulit banget sistemnya
Abdul Azis,3,2024-04-05 21:02:12,Terima kasih Mas Bibit. Tapi sayang : Topup via e-wallet = bayar Topup via bank = bayar Topup via jago/RDN = free tapi saldo jago/RDN 0 jadi mesti transfer dulu dr rekening utama dan tentu kena biaya jd free itu cuma semu saja. Di tokopedia reksadana serba free jual/belinya.
diam aktif,2,2024-04-05 18:29:08,"Respon dr support bagus. Fitur bagus. Tapi kadang nge lag. Daftar juga hampir sehari tdk respon, setelah di info ke tim suport langsung di approve daftarnya. Seharusnya tau jika ada yg mau daftar. Tidak usah sampai chat support. Maju terus Bibit. Jossssssss yah"
Irfan Apandi,5,2024-04-04 21:50:26,"Aplikasinya mudah dimengerti & mudah digunakan. Bagus untuk investor pemula.. Tp khusus reksadana banyak potongan nya, %return yg di janjikan akhirnya hanya mimpi. Keuntungan investasi makin tipis.."
Icabella SuanTak,4,2024-04-02 10:34:37,"Sebenarnya bibit sangat membantu dan menolong saya investasi utk hari tua, tapi plis tingkatin lagi dalam bagian pencairan, jangan terlalu lama(kejadian disaya 1 minggu), dan juga biaya transaksi, jujur dlu saya suka nabung sebulan bisa lebih 2-3x, tapi semenjak ada biaya tambahan mau ga mau cmn 1x sekarang 🙏🏻"
Akka Ikki,1,2024-04-02 09:03:05,"aplikasi saat penarikan butuh waktu 3 hari ,tidak cocok untuk yg sering butuh dana darurat.akhirnya pilih investasi yang lain. dan saat memasukkan dana cepat tapi saat penarikan lama.padahal zaman sudah canggih apa apa serba cepat.baru kali ini ada apl selama ini saat penarikan.sangat mengecewakan"
Ardhi Mudzakir,1,2024-03-27 14:18:53,"jelek banget aplikasinya, sering gangguan.. kita pantengin fluktuasi saham kalo waktu ideal beli baru kita top up saldo rdn, eh malah gangguan dan harus nunggu satu hari.. keburu fluktuasi nya ga sesuai yang kita mau.. not recommend, saya mau pindah aplikasi lain aja setelah masalah ini selesai"
Jena Huta gunsa,4,2024-03-20 20:03:40,"aplikasi bagus dan gak ribet, investasi jadi mudah sangat rekomend - - sugali - - investasi masa kini sangat terencana mudah digunakan dan ramah untuk pemula, ga takut lagi kalau ga ada arah asal beli saat ingin berinvestasi, karena ad bibit bisa nabung rutin setiap bulan. terima kasih bibit"
Kyousuke Hasegawa,1,2024-03-14 14:11:17,"Sekarang aplikasinya lag banget. Verifikasi biometrik & pin butuh waktu. Gak kaya dulu yg sat set sat set. Ditambah sekarang gak ada setting push notifikasi, sehari bisa 3-5 kali muncul dan sangat mengganggu ketika sedang fokus. Saat sedang update data diri, tombol submit gak berfungsi. -_- . Semoga keadaanmu bisa membaik aplikasi bibit."
Shinei Nouzen,1,2024-03-13 11:08:12,"penarikan lama lebih dari 7 hari pdhl dsana nya udh ditulis masuk ke rdn,tp duitnya kaga masuk,pdhl ini juga bukan dri obligasi,mending di aplikasi lain yg ga smpe ditunggu lama kaya gni ditambah chat support nya slow respon bgt"
Agus Roris,1,2024-03-10 18:10:04,"Proses kyc terlalu lama udh 2 Minggu kyc belum aj di proses, bilang nya 2 hari lagi ini malah udh hampir 3 Minggu belum aj di proses. Udah chat cs gitu² aj gak ada perubahan. Tolong data saya jangan disalah gunakan buat hal yang aneh aneh."
Lena,1,2024-03-07 23:53:16,"Ga lagi2 investasi ke aplikasi macam ginian. Bukannya untung malah buntung, baru simpen beberapa hari udah rugi ratusan ribu, jadinya malah mirip judi versi premium, karena nilai nya ga tetap bisa naik turun. Mending balik lagi invest ke emas yg terbukti stabil sekian lama"
Ido Ananta,1,2024-03-04 18:30:37,"Hampir setahun pakai aplikasi ini dan pada akhirnya dipaksa buat kecewa.Biaya admin sekarang berlaku dua kali, ketika beli dan jual, belum lagi dipersulit dengan pakai jago juga,biar dapat gratis biaya. Bibit yg dulu merepresentasikan investasi profitable untuk kaum awam, nyatanya sekarang justru nabung untuk kemudian nilainya defisit, karena banyaknya biaya admin/komisi.Pencairan yang lama dan tidak menentu,ditambah tidak jelasnya riwayat penjualan,makin melengkapi kekurangan aplikasi ini."
Ghoy Muhammad,5,2024-03-01 14:37:07,"Bibit aplikasi ringan,simpel .udah hampir 1/2 tahun pakai bibit nyaman juga belum ada kendala ..!! Yang pasti ada mode syariah nya,itu yang buat nyaman, setidak nya yaa kan..??!!!"
Yumn (Yumi),4,2024-03-01 12:14:52,"Sbnrnya sya suka dngan konsep nabung saham & obligasi 10 rb-nya. Membantu bnget untuk yg pnya bnyak kbtuhan tpi pengen bisa nabung. Tpi agak sulit menjelaskan kekecewaan saat akhirnya kena biaya pmbyaran. Untk buka akun bank jago/RDN Wallet, maaf. Sya agak skeptis tntng keamanan data pribadi & kebijakannya. Kalau bisa, saya usul. Gunakan metode limit sperti aplikasi keuangan Flip. Misal dlam sebulan bebas biaya transfer sbnyak 1-2 kali atau limit berdasar besaran akumulasi 1 bulan."
coco,5,2024-02-28 04:20:06,"semoga fitur bibit bareng bisa ditambah lagi jumlah maksimal anggotanya, karena akan sangat berguna dan membantu untuk kelompok belajar investasi bagi mahasiswa khusunya yang dimana kita semua bisa secara langsung berkontribusi dalam postfolio kelompok didalamnya, mungkin 30 atau lebih. terima kasih!"
Nining Pratiwi,3,2024-02-25 19:27:42,Ini kenapa di aplikasi nya performa portofolionya sedang dalam pembaharuan terus sudah hampir 1 bulan ya Dan di portofolio nya jadi tidak ada form tombol jualnya
Sayidina Ali,1,2024-02-25 19:21:30,"Awal gunain apk ini setiap transaksi jual maupun beli saham reksadana sih ok cepet. Tapi krna udh sering jual beli saham/ reksadana eh sekarang malah lama masuk saldo RDN. No rekomended deh pokonya untuk apk investasi ini, udah pasti lama. Sampai saat ini penjualan saham saya masih dalam proses, padahal di order pun sudah tidak ada. Sementara, di history penjualan ada, pokoknya ini apk not rekomended lah karena terlalu banyak prosesnya, dan lama masuk saldo RDN."
Rina sulaina,1,2024-02-13 06:12:58,"Aplikasi gak jelas saya baru pertama daftar tapi muncul notif NIK sudah dipakai orang lain!kok bisa aplikasi seperti ini tidak ada verifikasi data terlebih dahulu saya hubungi admin untuk konfirmasi bahwa nik tsb punya saya, malah disuruh ke capil jelas jelas didukcapil terdaftar itu nik saya mau dicek berapa kalipun itu data punya saya!! kocak bgt tidak membantu👎🏻"
